objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
gib001000002003,https://adrian-gibson.github.io/001/GIB001000002003.jpg,,,"Cambridgeshire: [Brook House, St Neots]",,,,Brick;Domestic,Cambridgeshire,52.2265,-0.267385,,GIB001000002003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002004,https://adrian-gibson.github.io/001/GIB001000002004.jpg,,,"Bedford: [Parish Church of Saint Peter, Thurleigh]",,,,Brick;Stone;Religious,Bedford,52.2144,-0.4626,,GIB001000002004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002005,https://adrian-gibson.github.io/001/GIB001000002005.jpg,,,"Bedford: [Parish Church of Saint Peter, Thurleigh]",,,,Stone;Religious,Bedford,52.2144,-0.4626,,GIB001000002005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002006,https://adrian-gibson.github.io/001/GIB001000002006.jpg,,,"Bedford: [Parish Church of Saint Peter, Thurleigh]",,,,Brick;Stone;Plaster;Religious,Bedford,52.2144,-0.4626,,GIB001000002006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002007,https://adrian-gibson.github.io/001/GIB001000002007.jpg,,,"Bedford: [Parish Church of Saint Mary, Stevington]",,,,Stone;Religious,Bedford,52.1722,-0.5532,,GIB001000002007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002008,https://adrian-gibson.github.io/001/GIB001000002008.jpg,,,"Bedford: [Parish Church of Saint Mary, Stevington]",,,,Stone;Plaster;Religious,Bedford,52.1722,-0.5532,,GIB001000002008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000002009,https://adrian-gibson.github.io/001/GIB001000002009.jpg,,,"Bedford: [Parish Church of Saint Mary, Stevington]",,,,Stone;Plaster;Religious,Bedford,52.1722,-0.5532,,GIB001000002009,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000003001,https://adrian-gibson.github.io/001/GIB001000003001.jpg,,,"Worcestershire: [St Peter's Church], Pirton ""South door""",,,,Stone;Timber frame;Religious,Worcestershire,52.119671,-2.1688235,,GIB001000003001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000003002,https://adrian-gibson.github.io/001/GIB001000003002.jpg,,,"Worcestershire: [St Peter's Church], Pirton",,,,Stone;Timber frame;Religious,Worcestershire,52.119671,-2.1688235,,GIB001000003002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000006001,https://adrian-gibson.github.io/001/GIB001000006001.jpg,,,"Essex: ""Wingfield Chapel decorated and perpendicular windows""",,,,Flint;Stone;Religious,Essex,51.952443,0.34458019,,GIB001000006001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000006002,https://adrian-gibson.github.io/001/GIB001000006002.jpg,,,"Essex: Thaxted Chapel ""From air""",,,,Stone;Religious,Essex,51.952443,0.34458019,,GIB001000006002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000006003,https://adrian-gibson.github.io/001/GIB001000006003.jpg,,,"Essex: Thaxted Chapel ""Spire""",,,,Stone;Religious,Essex,51.952443,0.34458019,,GIB001000006003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000007001,https://adrian-gibson.github.io/001/GIB001000007001.jpg,,,"East Sussex: [St John's Church], Piddinghoe ""Round tower""",,,,Flint;Stone;Religious,East Sussex,50.809558,0.035519578,,GIB001000007001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000007002,https://adrian-gibson.github.io/001/GIB001000007002.jpg,,,"East Sussex: [St John's Church], Piddinghoe ""Norman round church""",,,,Flint;Stone;Religious,East Sussex,50.809558,0.035519578,,GIB001000007002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000008003,https://adrian-gibson.github.io/001/GIB001000008003.jpg,,,"Cumberland: Carlisle Cathedral ""Ceiling painting""",,,"Slide title continues: ""Abbey - Deanery - Peletuk 1510-20 Prior Stenhouse, Simon Stenhus sette thys roofe and scallope here""",Stone;Wood;Religious,Cumberland,54.894743,-2.938494,,GIB001000008003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000009001,https://adrian-gibson.github.io/001/GIB001000009001.jpg,,,"Cambridgeshire: Leverington Church ""Font""",,,,Stone;Religious,Cambridgeshire,52.681033,0.13603736,,GIB001000009001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000009002,https://adrian-gibson.github.io/001/GIB001000009002.jpg,,,Cambridgeshire: Leverington Church,,,,Stone;Religious,Cambridgeshire,52.681033,0.13603736,,GIB001000009002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000009003,https://adrian-gibson.github.io/001/GIB001000009003.jpg,,,Cambridgeshire: Leverington Church,,,,Stone;Religious,Cambridgeshire,52.681033,0.13603736,,GIB001000009003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000010001,https://adrian-gibson.github.io/001/GIB001000010001.jpg,,,"Edinburgh: Holyrood Abbey ""Early English frontage""",,,,Stone;Religious,Edinburgh,55.953154,-3.1714413,,GIB001000010001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000010002,https://adrian-gibson.github.io/001/GIB001000010002.jpg,,,"Edinburgh: Holyrood Abbey ""Ribbed vault""",,,,Stone;Religious,Edinburgh,55.953154,-3.1714413,,GIB001000010002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000010003,https://adrian-gibson.github.io/001/GIB001000010003.jpg,,,"Highland: Fortrose Cathedral ""14 mouldings""",,,,Stone;Religious,Highland,57.581213,-4.1306475,,GIB001000010003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000010004,https://adrian-gibson.github.io/001/GIB001000010004.jpg,,,"Edinburgh: Holyrood Abbey ""Side aisle C13""",,,,Stone;Religious,Edinburgh,55.953154,-3.1714413,,GIB001000010004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000010005,https://adrian-gibson.github.io/001/GIB001000010005.jpg,,,"Edinburgh: Holyrood Abbey ""Transitional blind arcade""",,,,Stone;Religious,Edinburgh,55.953154,-3.1714413,,GIB001000010005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000010006,https://adrian-gibson.github.io/001/GIB001000010006.jpg,,,"Edinburgh: Holyrood Abbey ""West door Early English late C13""",,,,Stone;Religious,Edinburgh,55.953154,-3.1714413,,GIB001000010006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000011001,https://adrian-gibson.github.io/001/GIB001000011001.jpg,,,"Essex: [St Mary's Church], Stebbing ""Pisc and sed [piscina and sedilia]""",,,,Stone;Religious,Essex,51.892257,0.41299734,,GIB001000011001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000011002,https://adrian-gibson.github.io/001/GIB001000011002.jpg,,,"Essex: [St Mary's Church], Stebbing ""Screen""",,,,Stone;Religious,Essex,51.892257,0.41299734,,GIB001000011002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000012001,https://adrian-gibson.github.io/001/GIB001000012001.jpg,,,"Bedford: [St Mary's], Luton ""Decorated font screen, canopy octagon""",,,,Stone;Religious,Bedford,51.878702,-0.41037507,,GIB001000012001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000012002,https://adrian-gibson.github.io/001/GIB001000012002.jpg,,,"Bedford: [St Mary's], Luton ""Early English capitals""",,,,Stone;Religious,Bedford,51.878702,-0.41037507,,GIB001000012002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000012003,https://adrian-gibson.github.io/001/GIB001000012003.jpg,,,"Bedford: [St Mary's], Luton ""South door""",,,,Stone;Religious,Bedford,51.878702,-0.41037507,,GIB001000012003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013001,https://adrian-gibson.github.io/001/GIB001000013001.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""c1330 - Martyrdom of Becket - Tom of Lancaster""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013002,https://adrian-gibson.github.io/001/GIB001000013002.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Passion of Christ""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013003,https://adrian-gibson.github.io/001/GIB001000013003.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013004,https://adrian-gibson.github.io/001/GIB001000013004.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Passion of Christ""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013005,https://adrian-gibson.github.io/001/GIB001000013005.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Passion of Christ""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013006,https://adrian-gibson.github.io/001/GIB001000013006.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Virgin""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013007,https://adrian-gibson.github.io/001/GIB001000013007.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""C1330 St Margaret and dragon""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013008,https://adrian-gibson.github.io/001/GIB001000013008.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Martyrdom of Becket""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013009,https://adrian-gibson.github.io/001/GIB001000013009.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Virgin and child 1330""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013009,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000013010,https://adrian-gibson.github.io/001/GIB001000013010.jpg,,,"Oxfordshire: [St Peter ad Vincula], South Newington ""Thomas A Becket wall painting""",,,,Stone;Plaster;Religious,Oxfordshire,51.996817,-1.4076338,,GIB001000013010,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014001,https://adrian-gibson.github.io/001/GIB001000014001.jpg,,,"Gloucestershire: Cirencester Church ""First half of 15th century""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014002,https://adrian-gibson.github.io/001/GIB001000014002.jpg,,,"Gloucestershire: Cirencester Church ""17th century doorway""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014003,https://adrian-gibson.github.io/001/GIB001000014003.jpg,,,"Gloucestershire: Cirencester Church ""Tower""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014004,https://adrian-gibson.github.io/001/GIB001000014004.jpg,,,"Gloucestershire: Cirencester Church ""St Christopher""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014005,https://adrian-gibson.github.io/001/GIB001000014005.jpg,,,"Gloucestershire: Cirencester Church ""Fan vault, chantry chapel St Catherine and St Nicolas 1460""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014006,https://adrian-gibson.github.io/001/GIB001000014006.jpg,,,"Gloucestershire: Cirencester Church ""Tower""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000014007,https://adrian-gibson.github.io/001/GIB001000014007.jpg,,,"Gloucestershire: Cirencester Church ""St Johns Hospital, founded Henry II""",,,,Stone;Plaster;Religious,Gloucestershire,51.717587,-1.9678899,,GIB001000014007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000015001,https://adrian-gibson.github.io/001/GIB001000015001.jpg,,,"East Riding: [Church of St Mary], Lastingham ""Later A/S [Anglo Saxon] sculpture""",,,,Stone;Religious,East Riding,54.304657,-0.882465157,,GIB001000015001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000015002,https://adrian-gibson.github.io/001/GIB001000015002.jpg,,,"East Riding: [Church of St Mary], Lastingham ""A/S [Anglo Saxon] fragments""",,,,Stone;Religious,East Riding,54.304657,-0.882465157,,GIB001000015002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000015003,https://adrian-gibson.github.io/001/GIB001000015003.jpg,,,"East Riding: [Church of St Mary], Lastingham ""Crypt 1078-85""",,,,Stone;Religious,East Riding,54.304657,-0.882465157,,GIB001000015003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000015004,https://adrian-gibson.github.io/001/GIB001000015004.jpg,,,"East Riding: [Church of St Mary], Lastingham ""Head of massive - more than 24' high""",,,,Stone;Religious,East Riding,54.304657,-0.882465157,,GIB001000015004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000015005,https://adrian-gibson.github.io/001/GIB001000015005.jpg,,,"East Riding: [Church of St Mary], Lastingham ""Crypt""",,,,Stone;Religious,East Riding,54.304657,-0.882465157,,GIB001000015005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000016002,https://adrian-gibson.github.io/001/GIB001000016002.jpg,,,"Hampshire: Winchester Cathedral ""South side flying buttresses""",,,,Stone;Religious,Hampshire,51.060849,-1.3131007,,GIB001000016002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000016003,https://adrian-gibson.github.io/001/GIB001000016003.jpg,,,"Hampshire: Winchester Cathedral ""1235 Winchester Castle""",,,,Stone;Religious,Hampshire,51.060849,-1.3131007,,GIB001000016003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017001,https://adrian-gibson.github.io/001/GIB001000017001.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Clock""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017002,https://adrian-gibson.github.io/001/GIB001000017002.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Christ Porch - E [East] Side""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017003,https://adrian-gibson.github.io/001/GIB001000017003.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Crucifix over porch""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017004,https://adrian-gibson.github.io/001/GIB001000017004.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""From South East""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017005,https://adrian-gibson.github.io/001/GIB001000017005.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""South Porch""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017006,https://adrian-gibson.github.io/001/GIB001000017006.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Clock""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017007,https://adrian-gibson.github.io/001/GIB001000017007.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Flying buttresses""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017008,https://adrian-gibson.github.io/001/GIB001000017008.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Porch""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017009,https://adrian-gibson.github.io/001/GIB001000017009.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Chancel flying buttress""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017009,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017010,https://adrian-gibson.github.io/001/GIB001000017010.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Tower south face""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017010,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000017011,https://adrian-gibson.github.io/001/GIB001000017011.jpg,,,"Oxfordshire: [Parish Church of Saint Matthew], Langford ""Tower Arch""",,,,Stone;Religious,Oxfordshire,51.72101,-1.640703882,,GIB001000017011,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000018001,https://adrian-gibson.github.io/001/GIB001000018001.jpg,,,"West Sussex: [St John the Baptist's Church], Clayton ""Wall painting chancel arch""",,,,Stone;Plaster;Religious,West Sussex,50.910642,-0.153461871,,GIB001000018001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000018002,https://adrian-gibson.github.io/001/GIB001000018002.jpg,,,"West Sussex: [St John the Baptist's Church], Clayton ""Wall painting C1140 resurrection""",,,,Stone;Plaster;Religious,West Sussex,50.910642,-0.153461871,,GIB001000018002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019001,https://adrian-gibson.github.io/001/GIB001000019001.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Int [interior]- Screen""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019002,https://adrian-gibson.github.io/001/GIB001000019002.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St Michael""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019003,https://adrian-gibson.github.io/001/GIB001000019003.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St George""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019004,https://adrian-gibson.github.io/001/GIB001000019004.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St George""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019005,https://adrian-gibson.github.io/001/GIB001000019005.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Mary and Jesus Nativity""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019006,https://adrian-gibson.github.io/001/GIB001000019006.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Exterior""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019007,https://adrian-gibson.github.io/001/GIB001000019007.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St Michael""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019008,https://adrian-gibson.github.io/001/GIB001000019008.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St Michael book""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019009,https://adrian-gibson.github.io/001/GIB001000019009.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Saints north side screen""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019009,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019010,https://adrian-gibson.github.io/001/GIB001000019010.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St George [flash]""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019010,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019011,https://adrian-gibson.github.io/001/GIB001000019011.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Ranworth Saints S [south] side screen""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019011,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019012,https://adrian-gibson.github.io/001/GIB001000019012.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Ranworth St Barbara [flash]""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,,GIB001000019012,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
