objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
gib001000019015,https://adrian-gibson.github.io/001/GIB001000019015.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Ranworth Ch [church] int [interior] - screen""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019015,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020001,https://adrian-gibson.github.io/001/GIB001000020001.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Misericord, 2 faces and phoenix""",,,,Wood;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020002,https://adrian-gibson.github.io/001/GIB001000020002.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Monument Robert Younge 1626 inscription""",,,,Stone;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020003,https://adrian-gibson.github.io/001/GIB001000020003.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""North side pavement""",,,,Ceramic;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020004,https://adrian-gibson.github.io/001/GIB001000020004.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Pavement""",,,,Ceramic;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020005,https://adrian-gibson.github.io/001/GIB001000020005.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Monument Robert Younge 1626""",,,,Stone;Object;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020006,https://adrian-gibson.github.io/001/GIB001000020006.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Pavement detail""",,,,Ceramic;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020007,https://adrian-gibson.github.io/001/GIB001000020007.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Misericord""",,,,Wood;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020008,https://adrian-gibson.github.io/001/GIB001000020008.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Chest""",,,,Wood;Object;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020009,https://adrian-gibson.github.io/001/GIB001000020009.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Font four men split tails""",,,,Stone;Object;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020009,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020010,https://adrian-gibson.github.io/001/GIB001000020010.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Detail pavement""",,,,Ceramic;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020010,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020011,https://adrian-gibson.github.io/001/GIB001000020011.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Pavement""",,,,Ceramic;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020011,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020012,https://adrian-gibson.github.io/001/GIB001000020012.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""From south]""",,,,Brick;Stone;Flint;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020012,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020013,https://adrian-gibson.github.io/001/GIB001000020013.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Misericord""",,,,Wood;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020013,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000020014,https://adrian-gibson.github.io/001/GIB001000020014.jpg,,,"Hertfordshire: [Church of St Mary], Meesden ""Porch, brick C1530""",,,,Brick;Stone;Flint;Religious,Hertfordshire,51.973073,0.093429987,"Welsh School of Architecture, Cardiff University",GIB001000020014,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000021001,https://adrian-gibson.github.io/001/GIB001000021001.jpg,,,"Essex: [Old St Mary's Church], West Bergholt ""Base of belfry frame""",,,,Timber frame;Religious,Essex,51.917262,0.838404059,"Welsh School of Architecture, Cardiff University",GIB001000021001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000021002,https://adrian-gibson.github.io/001/GIB001000021002.jpg,,,"Essex: [Old St Mary's Church], West Bergholt ""Section in field""",,,,Timber frame;Archaeological;Religious,Essex,51.917262,0.838404059,"Welsh School of Architecture, Cardiff University",GIB001000021002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000021003,https://adrian-gibson.github.io/001/GIB001000021003.jpg,,,"Essex: [Old St Mary's Church], West Bergholt ""Notched lap lodged joist""",,,,Timber frame;Religious,Essex,51.917262,0.838404059,"Welsh School of Architecture, Cardiff University",GIB001000021003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000022001,https://adrian-gibson.github.io/001/GIB001000022001.jpg,,,"Germany: Essen Cathedral ""West front""",,,,Stone;Religious,Germany,51.45605821,7.013759566,"Welsh School of Architecture, Cardiff University",GIB001000022001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000022003,https://adrian-gibson.github.io/001/GIB001000022003.jpg,,,"Italy: Torcello ""Torcello 12th century murals""",,,,Stone;Religious,Italy,45.49630182,12.41543746,"Welsh School of Architecture, Cardiff University",GIB001000022003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000022004,https://adrian-gibson.github.io/001/GIB001000022004.jpg,,,"Germany: Mainz ""Mainz new cathedral from north""",,,,Brick;Stone;Religious,Germany,49.99903249,8.274047092,"Welsh School of Architecture, Cardiff University",GIB001000022004,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000022005,https://adrian-gibson.github.io/001/GIB001000022005.jpg,,,Germany: Altenberg Abbey,,,,Brick;Stone;Religious,Germany,51.054722,7.132778,"Welsh School of Architecture, Cardiff University",GIB001000022005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000023001,https://adrian-gibson.github.io/001/GIB001000023001.jpg,,,"Suffolk: [St Mary's Church], Hadleigh ""Norman church""",,,,Stone;Religious,Suffolk,52.043591,0.952574986,"Welsh School of Architecture, Cardiff University",GIB001000023001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000024001,https://adrian-gibson.github.io/001/GIB001000024001.jpg,,,"Suffolk: [St Peter and St Paul's Church], Alpheton ""Porch decorated""",,,,Timber frame;Stone;Religious,Suffolk,52.120781,0.735124045,"Welsh School of Architecture, Cardiff University",GIB001000024001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000024002,https://adrian-gibson.github.io/001/GIB001000024002.jpg,,,"Suffolk: [St Peter and St Paul's Church], Alpheton ""South door - decorated""",,,,Timber frame;Stone;Religious,Suffolk,52.120781,0.735124045,"Welsh School of Architecture, Cardiff University",GIB001000024002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000024003,https://adrian-gibson.github.io/001/GIB001000024003.jpg,,,"Suffolk: [St Peter and St Paul's Church], Alpheton ""Porch decorated""",,,,Timber frame;Stone;Religious,Suffolk,52.120781,0.735124045,"Welsh School of Architecture, Cardiff University",GIB001000024003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000025001,https://adrian-gibson.github.io/001/GIB001000025001.jpg,,,"Gloucestershire: [St Mary the Virgin], Syde ""Roof C posts""",,,,Timber frame;Stone;Religious,Gloucestershire,51.796242,-2.07505758,"Welsh School of Architecture, Cardiff University",GIB001000025001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000025002,https://adrian-gibson.github.io/001/GIB001000025002.jpg,,,"Gloucestershire: [St Mary the Virgin], Syde",,,,Timber frame;Stone;Religious,Gloucestershire,51.796242,-2.07505758,"Welsh School of Architecture, Cardiff University",GIB001000025002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000026001,https://adrian-gibson.github.io/001/GIB001000026001.jpg,,,"Bedford: [All Saints], Little Staughton ""Capital: c1300""",,,,Stone;Religious,Bedford,52.250865,-0.38184081,"Welsh School of Architecture, Cardiff University",GIB001000026001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000028001,https://adrian-gibson.github.io/001/GIB001000028001.jpg,,,"Westminster: St Pauls Cathedral ""Great Beast and Serpent, ringerike tombstone""",,,,Stone;Object;Religious,Westminster,51.513969,-0.098307685,"Welsh School of Architecture, Cardiff University",GIB001000028001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000028002,https://adrian-gibson.github.io/001/GIB001000028002.jpg,,,"Gloucestershire: [St Mary's Church], Bibury ""Ringerike gravestone""",,,,Stone;Object;Religious,Gloucestershire,51.757282,-1.830308342,"Welsh School of Architecture, Cardiff University",GIB001000028002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000029001,https://adrian-gibson.github.io/001/GIB001000029001.jpg,,,"York: All Saints Church ""Pavement""",,,,Stone;Religious,York,53.958507,-1.086248023,"Welsh School of Architecture, Cardiff University",GIB001000029001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000030001,https://adrian-gibson.github.io/001/GIB001000030001.jpg,,,"Lancashire: [St Margaret's Church], Hornby ""From south east""",,,,Stone;Religious,Lancashire,54.111454,-2.636984913,"Welsh School of Architecture, Cardiff University",GIB001000030001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000032001,https://adrian-gibson.github.io/001/GIB001000032001.jpg,,,"Somerset: Exebridge nr Dulverton ""Parabola arches""",,,,Stone;Industrial;Bridge,Somerset,51.009562,-3.5267858,"Welsh School of Architecture, Cardiff University",GIB001000032001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000032002,https://adrian-gibson.github.io/001/GIB001000032002.jpg,,,"Somerset: Exebridge nr Dulverton ""Parabola arches""",,,,Stone;Plaster;Industrial;Bridge,Somerset,51.009562,-3.5267858,"Welsh School of Architecture, Cardiff University",GIB001000032002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000033001,https://adrian-gibson.github.io/001/GIB001000033001.jpg,,,"Essex: [St Mary's Church], Great Bardfield ""Door""",,,,Stone;Wood;Religious,Essex,51.946579,0.440074395,"Welsh School of Architecture, Cardiff University",GIB001000033001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000033002,https://adrian-gibson.github.io/001/GIB001000033002.jpg,,,"Essex: [St Mary's Church], Great Bardfield ""South door""",,,,Stone;Wood;Religious,Essex,51.946579,0.440074395,"Welsh School of Architecture, Cardiff University",GIB001000033002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000033003,https://adrian-gibson.github.io/001/GIB001000033003.jpg,,,"Essex: [St Mary's Church], Great Bardfield ""Door""",,,,Stone;Wood;Religious,Essex,51.946579,0.440074395,"Welsh School of Architecture, Cardiff University",GIB001000033003,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000034001,https://adrian-gibson.github.io/001/GIB001000034001.jpg,,,"West Yorkshire: Stanbury ""Farmhouse""",,,,Stone;Domestic,West Yorkshire,53.830877,-1.981635877,"Welsh School of Architecture, Cardiff University",GIB001000034001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000034002,https://adrian-gibson.github.io/001/GIB001000034002.jpg,,,"West Yorkshire: Stanbury ""Door dated 1715""",,,,Stone;Domestic,West Yorkshire,53.830877,-1.981635877,"Welsh School of Architecture, Cardiff University",GIB001000034002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000035001,https://adrian-gibson.github.io/001/GIB001000035001.jpg,,,"Norfolk: [St Margaret's Church], Garveston ""Perpendicular stretched hex""",,,,Stone;Flint;Religious,Norfolk,52.626393,0.98868818,"Welsh School of Architecture, Cardiff University",GIB001000035001,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000035002,https://adrian-gibson.github.io/001/GIB001000035002.jpg,,,"Norfolk: [St Margaret's Church], Garveston ""Decorated chancel""",,,,Stone;Flint;Religious,Norfolk,52.626393,0.98868818,"Welsh School of Architecture, Cardiff University",GIB001000035002,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000036005,https://adrian-gibson.github.io/001/GIB001000036005.jpg,,,Wiltshire: Malmesbury Abbey,,,,Stone;Religious,Wiltshire,51.584704,-2.0984999,"Welsh School of Architecture, Cardiff University",GIB001000036005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
